201 2 -7 -7 -7 -7 17 39 62 87 111 135 157 -7 -7 -7 -7
202 2 -7 -7 -7 -7 -7 18 40 66 90 114 136 159 -7 -7 -7
301 3 57 85 112 134 158 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7
302 3 29 57 84 106 131 151 -7 -7 -7 -7 -7 -7 -7 -7 -7
303 3 -7 27 54 76 100 121 145 171 -7 -7 -7 -7 -7 -7 -7
401 4 -7 96 120 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7
403 4 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7
801 8 120 149 173 196 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7
802 8 81 111 135 158 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7
803 8 41 71 95 118 142 164 -7 -7 -7 -7 -7 -7 -7 -7 -7
1001 10 -7 67 91 114 138 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7
1002 10 -7 2 26 49 73 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7
1201 12 -7 -7 -7 -7 60 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7
1202 12 -7 -7 -7 -7 14 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7
1601 16 -7 -7 7 29 53 77 99 124 149 173 -7 -7 -7 -7 -7
1602 16 -7 -7 -7 -7 11 35 57 82 107 131 152 -7 -7 -7 -7
1603 16 -7 -7 -7 -7 -7 -7 20 45 70 94 115 139 161 -7 -7
1901 19 -7 7 31 -7 80 -7 129 -7 -7 -7 -7 -7 -7 -7 -7
2001 20 -7 -7 1 23 48 71 94 120 145 169 -7 -7 -7 -7 -7
2501 25 -7 -7 -7 21 44 66 90 114 139 164 -7 -7 -7 -7 -7
2502 25 -7 -7 -7 -7 12 33 57 81 106 130 151 -7 -7 -7 -7
2701 27 -7 5 28 52 76 98 122 147 171 -7 -7 -7 -7 -7 -7
2702 27 -7 -7 -7 6 30 52 76 100 125 151 171 -7 -7 -7 -7
3001 30 41 71 93 114 142 161 -7 -7 -7 -7 -7 -7 -7 -7 -7
3002 30 -7 19 42 62 90 109 132 161 -7 -7 -7 -7 -7 -7 -7
3003 30 -7 -7 -7 8 36 55 78 106 128 155 -7 -7 -7 -7 -7
3501 35 -7 -7 6 25 52 76 98 -7 -7 -7 -7 -7 -7 -7 -7
3502 35 -7 -7 -7 -7 15 39 61 -7 -7 -7 -7 -7 -7 -7 -7
3701 37 -7 -7 4 28 50 73 100 -7 147 -7 -7 -7 -7 -7 -7
4301 43 40 70 96 117 140 166 -7 -7 -7 -7 -7 -7 -7 -7 -7
4302 43 -7 -7 20 41 64 89 114 137 161 -7 -7 -7 -7 -7 -7
