"VERSION_R26","CASEID","SAMPLE_ID","SAMPLE_RACE","SAMPLE_SEX","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS"
458,43,6,3,2,-3,1,-3,0,-3,-3,-3,-3,1,-3,1,1,1,-3,0,1,0,1,1,1,1,1,1,1,1,1
458,44,5,3,2,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,-5,-3,-3,0,0,-3,-3,-3,0,-3,0
-5,45,1,3,1,0,0,0,0,0,-3,0,0,0,0,-3,0,0,0,0,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,46,5,3,2,0,0,0,-3,-3,-3,0,-3,0,0,0,-3,-3,0,-3,-3,-3,0,-3,-3,0,0,-3,-5,-5,-5
458,47,1,3,1,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,48,2,3,1,0,0,-5,0,0,-5,-5,-5,-5,-5,-3,-5,0,0,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,49,5,3,2,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,50,5,3,2,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-5,51,1,3,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,52,1,3,1,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-3
458,53,4,1,1,0,0,0,-3,-3,-3,1,1,1,-3,-3,0,-3,-3,1,1,1,1,1,1,1,1,1,0,1,1
458,54,1,3,1,0,0,0,0,0,0,-3,0,0,0,0,0,0,-3,0,-5,0,0,0,0,-5,-5,-5,0,-5,0
-5,55,1,3,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,56,5,3,2,0,-3,-3,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,57,5,3,2,0,0,-3,-3,-3,-3,0,0,0,0,0,0,0,0,0,-3,-3,-3,0,1,0,0,0,0,0,0
458,58,5,3,2,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,-3,0,0,0
458,59,1,3,1,0,0,-3,-3,0,-3,0,0,0,0,0,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
-5,60,1,3,1,0,0,-3,-5,0,0,0,0,0,0,0,0,-3,0,0,0,-3,0,0,-5,-5,-5,-5,-5,0,-5
458,61,5,3,2,0,-3,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,62,5,3,2,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,63,1,3,1,0,0,-3,0,0,0,0,0,0,-5,-5,-5,-5,-5,0,-3,0,0,0,0,0,0,0,0,0,0
-5,64,1,3,1,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,65,5,3,2,0,0,0,-3,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,66,1,3,1,-3,-3,-3,0,0,-3,-3,0,-3,-3,-3,-3,-5,-3,-3,-3,-3,-3,-5,-3,-3,0,-3,-3,1,1
458,67,1,3,1,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,-3,-3,-5,-5,0,-5,-3,0,-3,-3,0
458,68,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0
458,69,1,3,1,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0
458,70,1,3,1,-3,-3,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,-5,-3,-3,-5,-3,-3,0,0
458,71,1,3,1,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-5,0,-3,-3,-5,-5,-5,-5,-3,-5,-3
458,72,5,3,2,-3,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,73,1,3,1,0,-3,0,0,-3,-3,0,0,-5,0,0,-5,-5,-5,0,0,0,-5,0,0,0,0,0,0,-5,0
-5,74,5,3,2,-3,0,0,-3,0,-3,0,0,0,0,-3,-3,-3,-3,-3,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,75,5,3,2,-3,-3,0,-3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0
458,76,1,3,1,-3,-3,0,-3,-3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,77,5,3,2,-3,0,-3,-3,-3,-3,-3,-3,0,0,0,-3,0,0,-3,0,0,0,0,0,0,0,0,0,0,0
-5,78,5,3,2,0,0,-3,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,-3,0,-5,0,0,-5,-5,-5,-5
-5,79,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5
458,80,1,3,1,-3,0,0,-3,-3,-5,-3,-5,-5,-3,-3,1,0,0,0,0,0,0,-3,0,0,0,0,0,0,0
458,81,1,3,1,-3,0,1,-3,-3,-5,-3,1,1,1,0,0,0,0,0,0,0,-3,-3,-5,0,0,-5,-5,-5,0
-5,82,3,2,1,-3,-3,-3,-5,-5,-5,-3,-3,-5,-3,1,1,1,-3,-3,-3,1,-3,1,-5,-5,-5,1,-5,-5,-5
458,83,3,2,1,0,0,-3,-3,-3,-3,-3,-3,1,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3
458,84,3,2,1,0,0,-3,-3,-3,-3,-3,-3,-3,1,-3,1,-3,-3,-3,-3,-3,1,1,0,1,1,1,1,1,1
458,85,3,2,1,0,-3,1,1,-3,1,1,-3,-5,-3,-3,1,1,-3,-3,1,-5,1,-3,-3,-3,-3,1,1,1,1
458,86,7,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-3,-3,1,-3,-3,1,0,0,-3,0,0
458,87,3,2,1,0,-3,-3,1,1,-5,-3,-3,0,-3,1,0,1,1,-3,-3,-3,0,0,0,-3,0,0,0,0,1
458,88,3,2,1,-3,-3,-3,-3,-3,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0
-5,89,7,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,-3,0,0,0,-5,-5,-5
458,90,1,3,1,-3,-3,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,91,5,3,2,-3,-3,-3,-3,-3,-3,-3,0,0,-3,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0
458,92,5,3,2,-3,-3,-3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,93,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,94,1,3,1,0,-3,0,-3,-3,0,0,0,0,-5,-3,0,0,0,-3,0,0,-5,0,0,-3,-3,-3,-3,0,-3
458,95,5,3,2,0,-3,-3,-3,0,-3,-3,0,0,0,-3,-3,0,0,0,-3,-3,-3,0,0,0,0,0,0,0,0
458,96,6,3,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-3
458,97,5,3,2,0,0,0,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,98,6,3,2,0,0,-3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
458,99,5,3,2,0,-3,-5,0,-5,-5,-3,0,-3,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
458,100,5,3,2,0,-3,-3,0,0,-5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,101,1,3,1,0,-3,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,-5,-5,0,-5,-5,0,-5,-5
458,102,5,3,2,0,-3,0,-3,-3,-3,0,-3,0,0,-3,0,0,0,0,-3,-3,-3,-5,-3,-3,-3,-3,-3,-3,-3
458,103,1,3,1,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,104,5,3,2,-3,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,0,-3,0,0,0,-5,-5,-5,-5,-5,-5,-5
-5,105,6,3,2,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,-3,0,0,-5,0,0,0,0,0,-5
458,106,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0
458,107,1,3,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,108,1,3,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,109,5,3,2,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,110,1,3,1,-3,-3,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0
458,111,5,3,2,-3,-3,0,0,0,0,-3,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,-3
458,112,5,3,2,-3,-3,0,-3,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-3,0,-3,0,0,0
-5,113,1,3,1,-3,0,0,1,0,-3,0,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,114,1,3,1,-3,0,0,0,0,0,0,-5,0,-5,-3,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,115,5,3,2,0,0,0,0,1,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1
-5,116,5,3,2,0,0,0,-3,0,0,-5,-5,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,117,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,-3,-3,0,0,0,0,-3,-3,0
-5,118,5,3,2,0,-3,1,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5
458,119,1,3,1,0,-3,1,0,1,0,0,-3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
458,120,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0
458,121,5,3,2,0,0,1,0,0,-3,-3,0,0,0,0,0,-3,0,-3,1,0,0,-3,-3,-3,-3,0,-3,-3,0
458,122,1,3,1,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,0,-5,0,0,0,0,0,0,0
-5,123,1,3,1,-3,0,0,-3,0,0,0,-5,-3,0,0,0,-5,-5,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,124,5,3,2,-3,-3,-3,-3,0,-3,0,0,0,1,1,1,0,0,0,0,0,0,-3,0,0,1,0,0,1,1
-5,125,1,3,1,0,0,0,0,0,0,-3,0,-5,-5,1,0,0,0,0,0,-3,0,0,0,-5,-5,-5,-5,-5,-5
458,126,1,3,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,-3,-3,-3
-5,127,1,3,1,0,0,0,0,-3,0,0,0,-5,-5,-5,-5,-3,-3,-3,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,128,5,3,2,-3,0,0,-3,0,0,0,0,0,0,0,-3,0,0,0,0,-5,0,0,-3,-5,0,0,0,-3,0
458,129,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,130,6,3,2,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,131,6,3,2,1,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,132,6,3,2,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,133,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,-5,0,0
-5,134,1,3,1,-3,-3,-3,0,-3,-3,0,0,-5,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-3,-5,-5
458,135,1,3,1,-3,-3,-3,0,-3,-3,0,0,-3,-3,0,0,0,0,0,0,0,0,-3,0,0,-5,0,0,0,0
458,136,5,3,2,-3,-3,-5,-3,-3,-3,-3,-3,-3,-3,0,0,-3,-3,0,-3,-3,0,1,-3,-3,1,-3,-3,-3,1
458,137,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,138,5,3,2,0,0,0,0,0,0,-3,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0
-5,139,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-5,-5,0,0,0,0,0,-3,0,0,-5
